"Date","Run","SDR_position","Lpc","Leq","Lz","alpha"
"09.19.19","1","D2",-1.12430569849437,-0.239688311688315,-0.51923721320565,0.4
"09.19.19","1","A3",-0.302929577464792,-0.190507337526208,-0.190507337526208,0.4
"09.19.19","1","B3",0.871946651847739,-1.17077890662796,-1.17077890662796,0.4
"09.19.19","1","C3",0.321399267399268,0.353594721865487,0.353594721865487,0.4
"09.19.19","1","D3",-1.77171970956171,-1.74117127496159,-1.70942310321259,0.4
"09.19.19","1","A4",-1.39440858018386,-1.68696681096681,-1.68696681096681,0.4
"09.19.19","1","B4",1.19108802308802,1.29306240928883,1.29306240928883,0.4
"09.19.19","1","C4",-0.506636733586552,-0.464040920716116,-0.462498251748257,0.4
"09.19.19","1","D4",-0.424435707068491,-0.44441455959988,-0.44441455959988,0.4
"09.19.19","1","A5",-1.08300761924642,-1.10746897546897,-1.10746897546897,0.4
"09.19.19","1","B5",-0.411672740907387,-0.411672740907387,-0.404535807050092,0.4
"09.19.19","1","C5",-0.892986940816889,-0.407985808740529,-0.460181914331038,0.4
"09.19.19","1","D5",-0.809166529672858,-0.767490116088735,-0.767490116088735,0.4
"09.19.19","1","A6",0.0253602187286345,0.386187833219413,0.386187833219413,0.4
"09.19.19","1","B6",-0.657466824900204,-0.644512407780012,-0.640290381125227,0.4
"09.19.19","1","C6",-0.824284434490482,-0.782699543699543,-0.771825472041994,0.4
"09.19.19","1","D6",-1.20217860703603,-1.04803609022557,-1.04803609022557,0.4
"10.03.19","1","A1",-0.881444743935307,-0.883260643821393,-0.797521514629949,0.4
"10.03.19","1","B1",-0.582703239289444,-0.609957683939201,-0.624366703383162,0.4
"10.03.19","1","C1",-0.432653998632952,-0.436940392447245,-0.436940392447245,0.4
"10.03.19","1","D1",-0.0648656920455822,-0.0648656920455822,-0.130127088101772,0.4
"10.03.19","1","A2",-0.0879374595897192,-0.079198511521398,-0.0684198038767646,0.4
"10.03.19","1","B2",-0.626529260213472,-0.515552845528457,-0.515552845528457,0.4
"10.03.19","1","C2",-0.0512348987542284,0.00960341394025785,0.00960341394025785,0.4
"10.03.19","1","D2",-0.576457980137932,-0.551490362269308,-0.551490362269308,0.4
"10.03.19","1","A3",-0.601764266572947,-0.404760310995932,-0.404760310995932,0.4
"10.03.19","1","B3",-0.53144930541157,-0.582230581266205,-0.582230581266205,0.4
"10.03.19","1","C3",-0.509945128779394,-0.511509590723549,-0.528218616826215,0.4
"10.03.19","1","D3",-0.220295742808204,-0.211008118501636,-0.177789363076361,0.4
"10.03.19","1","A4",-0.387035556490647,-0.308602726387537,-0.297448648648652,0.4
"10.03.19","1","B4",-0.519468641243988,-0.732337356534618,-0.732337356534618,0.4
"10.03.19","1","C4",0.230438688552116,-0.965275675675681,-0.965275675675681,0.4
"10.03.19","1","D4",-0.635544236970376,-0.36056944959802,-0.494048348655087,0.4
"10.03.19","1","A5",-0.97945570111307,-0.97945570111307,-0.98076137046684,0.4
"10.03.19","1","B5",-0.353411046420143,-0.376178304331729,-0.376178304331729,0.4
"10.03.19","1","C5",-0.0880018630647377,-0.0787508674531564,-0.0667348920364393,0.4
"10.03.19","1","D5",-0.810689941475466,-0.810689941475466,-0.791293837248893,0.4
"10.03.19","1","A6",-0.52984877575824,-0.575414803308889,-0.562231578947362,0.4
"10.03.19","1","B6",-0.123110670721288,-0.120463917525771,-0.121555615843731,0.4
"10.03.19","1","C6",-1.07035059605237,-1.08220481303222,-1.08220481303222,0.4
"10.03.19","1","D6",-0.94749598488427,-0.905852791181935,-0.905852791181935,0.4
"10.18.19","1","A1",-0.778824850824849,-0.821124015283739,-0.821124015283739,0.4
"10.18.19","1","B1",-2.69946097980773,-2.87286330495858,-2.87286330495858,0.4
"10.18.19","1","C1",-0.638364854070659,-0.596895871392036,-0.601029720279727,0.4
"10.18.19","1","D1",-0.439393846794914,-0.35171007781851,-0.35171007781851,0.4
"10.18.19","1","A2",-0.682436111774544,-0.675624406284251,-0.675624406284251,0.4
"10.18.19","1","B2",-0.831105504019789,-0.750437705516987,-0.790838381864371,0.4
"10.18.19","1","C2",-0.292491961261389,-0.160981118104404,-0.160981118104404,0.4
"10.18.19","1","D2",-0.799464973698532,-0.814861985616662,-0.723855639097742,0.4
"10.18.19","1","A3",-0.392961747151378,-0.399551549574023,-0.411938847828284,0.4
"10.18.19","1","B3",-0.438485083301041,-0.341409038722472,-0.341409038722472,0.4
"10.18.19","1","C3",-0.545405594405594,-0.406283396730228,-0.51190063233966,0.4
"10.18.19","1","D3",-0.726201948972479,-0.658434782608694,-0.909940559440558,0.4
"10.18.19","1","A4",-0.0928626585769418,-0.101382667964957,-0.101382667964957,0.4
"10.18.19","1","B4",-0.0146240858495337,-0.0155913794942972,-0.0155913794942972,0.4
"10.18.19","1","C4",-0.485766599597596,-0.48892590324556,-0.52239528587355,0.4
"10.18.19","1","D4",-0.889378412919717,-0.86931384727804,-0.86931384727804,0.4
"10.18.19","1","A5",-0.0482963747565609,-0.0541118881118905,-0.0541118881118905,0.4
"10.18.19","1","B5",-0.309174866550905,-0.308036042341005,-0.303902945167217,0.4
"10.18.19","1","C5",-0.34128607964925,-0.328617132867136,-0.328617132867136,0.4
"10.18.19","1","D5",-0.44887103971441,-0.436210526315792,-0.425613192777369,0.4
"10.18.19","1","A6",0.0492924636047212,0.508831228473024,0.508831228473024,0.4
"10.18.19","1","B6",-0.0678490917682524,-0.0689941996791256,-0.0682887299965948,0.4
"10.18.19","1","C6",-0.415701592002967,-0.382060650347097,-0.382060650347097,0.4
"10.18.19","1","D6",-0.670295253133963,-0.824649252948492,-0.824649252948492,0.4
"10.18.19","2","A1",-1.27278801843317,-1.21446529080675,-1.21446529080675,0.4
"10.18.19","2","B1",-0.199356542617046,-0.147961763798953,-0.147961763798953,0.4
"10.18.19","2","C1",-0.35842738205364,-0.255192034139397,-0.255192034139397,0.4
"10.18.19","2","D1",-0.217755684822841,-2.13349819455083,-2.13349819455083,0.4
"10.18.19","2","A2",-1.60823376623377,-1.74091038406828,-1.49398380566801,0.4
"10.18.19","2","B2",0.00604545454545108,-0.0257138093914942,-0.0257138093914942,0.4
"10.18.19","2","C2",0.134316433566439,0.1782184105203,0.193636065215021,0.4
"10.18.19","2","D2",-1.63403700097371,-1.4919893039462,-1.4919893039462,0.4
"10.18.19","2","A3",-0.517357794181502,-3.63064959696539,-3.63064959696539,0.4
"10.18.19","2","B3",-1.06004020979021,-1.04155132267053,-1.04155132267053,0.4
"10.18.19","2","C3",-3.13117551020408,2.15487033592296,2.15487033592296,0.4
"10.18.19","2","D3",-1.48852459016394,-1.39979428821534,-1.39979428821534,0.4
"10.18.19","2","A4",-0.249355417057983,-0.252884366327475,-0.20300616405881,0.4
"10.18.19","2","B4",-0.351806637806643,-0.31802750118541,-0.31802750118541,0.4
"10.18.19","2","C4",-0.573082706766917,-0.778473210052143,-0.778473210052143,0.4
